Gender,Senior Citizen,Partner,Dependents,tenure,Phone Service,Paperless Billing,MonthlyCharges,TotalCharges,Multiple Lines_No phone service_False,Multiple Lines_No phone service_True,Multiple Lines_Yes_False,Multiple Lines_Yes_True,Internet Service_Fiber optic_False,Internet Service_Fiber optic_True,Internet Service_No_False,Internet Service_No_True,Online Security_No internet service_False,Online Security_No internet service_True,Online Security_Yes_False,Online Security_Yes_True,Online Backup_No internet service_False,Online Backup_No internet service_True,Online Backup_Yes_False,Online Backup_Yes_True,Device Protection_No internet service_False,Device Protection_No internet service_True,Device Protection_Yes_False,Device Protection_Yes_True,Tech Support_No internet service_False,Tech Support_No internet service_True,Tech Support_Yes_False,Tech Support_Yes_True,Streaming TV_No internet service_False,Streaming TV_No internet service_True,Streaming TV_Yes_False,Streaming TV_Yes_True,Streaming Movies_No internet service_False,Streaming Movies_No internet service_True,Streaming Movies_Yes_False,Streaming Movies_Yes_True,Contract_One year_False,Contract_One year_True,Contract_Two year_False,Contract_Two year_True,Payment Method_Credit card (automatic)_False,Payment Method_Credit card (automatic)_True,Payment Method_Electronic check_False,Payment Method_Electronic check_True,Payment Method_Mailed check_False,Payment Method_Mailed check_True,tenure_bucket,churn_label
1,0,0,0,-1.2395040756535771,1,1,-0.3639232943754246,-0.9596491092068434,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
0,0,0,1,-1.2395040756535771,1,1,0.19617817640187488,-0.94045745447498,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,0,0,1,-0.9950403079957154,1,1,1.1584890119510036,-0.645369218442638,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
0,0,1,1,-0.18016108246950976,1,1,1.3296772953043026,0.336515544511356,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,2,1
1,0,0,1,0.6754621043330061,1,1,1.2931128075977727,1.214588896927247,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,1
0,0,1,0,-0.9135523854430948,1,0,-0.3190486958265014,-0.7742621363716934,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,1,0,0,-1.2802480369298874,0,1,-0.8359375902233565,-0.9898704505662146,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
1,0,0,0,-1.2802480369298874,1,0,-1.4841262359300234,-0.9984736061356706,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
1,0,1,1,0.5939741817803856,1,1,1.1485168789401314,1.087901916323693,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,2,1
1,0,1,0,-1.2802480369298874,0,0,-1.150059780065818,-0.9940396721114126,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,0,0,0,-0.6283446565089229,1,1,-0.0032644838155611237,-0.5251015154562936,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1
1,0,0,1,-1.1172721918246462,1,1,0.1629377330323022,-0.8675512258671538,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
1,0,0,1,0.06430268518835193,1,1,1.3811999825271402,0.5585210769498317,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,2,1
0,0,0,1,-0.8728084241667845,1,1,1.0986562138857725,-0.5196749096355597,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
0,0,0,1,-1.2395040756535771,1,1,0.526920587929123,-0.9437663604632323,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,0,0,1,-0.7098325790615434,1,1,1.1402067680977384,-0.37805373333836034,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1
0,1,1,1,-0.9950403079957154,1,1,0.526920587929123,-0.7279595119094159,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
1,1,0,1,-0.5876006952326126,1,1,1.0188791497987983,-0.23416044159589447,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1
0,0,0,1,-0.9542963467194051,1,0,0.9839766842607471,-0.6291555791002016,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
0,0,0,1,-1.2802480369298874,1,1,0.48370801154867815,-0.9723553082017323,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,0,1,1,-1.0357842692720256,1,1,0.3440981493964733,-0.7881374821490981,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0,0,1,-0.8320644628904743,1,1,0.47041183420084937,-0.59822833779667,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
1,0,0,0,-1.1172721918246462,1,0,-1.4542098368974081,-0.9571343406557717,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
0,1,1,1,-0.3023929662984406,1,1,1.1202625020759949,0.10200234743728638,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,2,1
1,0,1,0,1.4495973685829016,1,1,1.5025276008260804,2.350889272666349,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,4,1
1,0,1,1,0.9199258719908678,1,1,1.0620917261792426,1.3039734773565694,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,1
0,1,1,1,0.18653456901728277,1,1,0.3889727479453962,0.2580282944700109,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,2,1
0,0,1,1,-0.9135523854430948,1,1,1.178433277972747,-0.5376532988383973,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
1,0,0,1,-1.1987601143772668,1,1,0.3191678168692938,-0.9060889509436658,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,1,0,1,-0.22090504374582004,1,1,0.44049543516823375,-0.06520770183573092,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,2,1
0,0,1,0,-0.3023929662984406,0,1,-0.20603118836995443,-0.3444131891244618,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,2,1
1,0,0,0,-1.2802480369298874,0,1,-0.9755474523755615,-0.991723437919636,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
1,0,0,0,-1.2395040756535771,1,0,-0.6797075063863649,-0.9715170520180417,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,1,1,1,-1.2802480369298874,1,1,0.18786806555948168,-0.9762818766411252,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
0,0,0,0,-0.9950403079957154,1,0,0.21113637591818266,-0.7586882188536525,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
1,0,0,0,-1.2802480369298874,1,1,-0.6364949300059205,-0.9872233257756128,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
1,0,0,1,-1.0357842692720256,1,0,1.0039209502824906,-0.718165150184189,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
0,0,1,1,-0.506112772679992,1,0,0.5850913638258751,-0.3048386735049641,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1
0,0,0,1,-1.1580161531009565,1,1,0.2028262650757895,-0.8869193555850574,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,1,1,0,1.0421577558197987,0,1,-0.648129085185271,0.16231267391649862,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,1
0,0,1,1,-1.2395040756535771,1,1,1.3163811179564737,-0.9002432170310868,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
