Dependents,tenure,Multiple Lines_Yes_False,Internet Service_Fiber optic_False,Online Security_Yes_True,Online Backup_Yes_True,Tech Support_Yes_True,Contract_One year_True,Contract_Two year_True,Payment Method_Electronic check_False,churn_label,mem_id
False,-1.2395040756535771,True,True,True,True,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.2395040756535771,True,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.9950403079957154,False,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.1801610824695097,False,False,False,False,True,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,0.6754621043330061,False,False,False,True,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
False,-0.9135523854430948,True,True,False,False,True,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
False,-1.2802480369298874,True,True,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,-1.2802480369298874,True,True,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,0.5939741817803856,False,False,False,True,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,-1.2802480369298874,True,True,False,True,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,-0.6283446565089229,True,True,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.1172721918246462,True,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,0.0643026851883519,False,False,False,True,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.8728084241667845,False,False,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.2395040756535771,True,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.7098325790615434,True,False,True,True,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.9950403079957154,False,False,False,True,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.5876006952326126,False,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.9542963467194052,False,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.2802480369298874,True,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.0357842692720256,True,False,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.8320644628904743,False,False,True,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,-1.1172721918246462,True,True,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.3023929662984406,True,False,False,True,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,1.4495973685829016,False,False,False,True,True,False,True,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,0.9199258719908678,False,False,True,True,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,0.1865345690172827,False,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.9135523854430948,False,False,True,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.1987601143772668,False,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.22090504374582,False,False,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,-0.3023929662984406,True,True,True,True,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
False,-1.2802480369298874,True,True,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,-1.2395040756535771,True,True,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.2802480369298874,True,False,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
False,-0.9950403079957154,False,True,True,False,True,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,-1.2802480369298874,True,True,False,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.0357842692720256,False,False,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.506112772679992,False,False,True,False,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.1580161531009563,True,False,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
False,1.0421577558197987,True,True,False,True,False,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
True,-1.2395040756535771,False,False,False,False,True,False,False,False,True,<function uuid4 at 0x000002997CC0E9E0>
False,0.8384379494382472,True,False,False,False,False,True,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
True,-0.7098325790615434,False,False,False,False,False,False,False,True,True,<function uuid4 at 0x000002997CC0E9E0>
